Rank,Journal
1,Ca-A Cancer Journal for Clinicians
2,Foundations and Trends in Machine Learning
3,Nature Reviews Molecular Cell Biology
4,Quarterly Journal of Economics
5,Nature Reviews Cancer
6,Cell
7,Nature Reviews Drug Discovery
8,American Economic Review
9,Nature Reviews Materials
10,Nature Reviews Clinical Oncology
11,New England Journal of Medicine
12,Journal of Finance
13,Nature Medicine
14,Current Protocols in Bioinformatics
15,MMWR supplements
16,Journal of Political Economy
17,Nature
18,Nature Biotechnology
19,Chemical Reviews
20,Econometrica
21,Review of Financial Studies
22,Cancer Cell
23,Nature Energy
24,Nature Genetics
25,Reviews of Modern Physics
26,Nature Reviews Immunology
27,IEEE Communications Surveys and Tutorials
28,World Psychiatry
29,Annual Review of Immunology
30,National Vital Statistics Reports
31,Nature Methods
32,Advances in Physics
33,Nano Research Energy
34,MMWR Recommendations and Reports
35,Academy of Management Annals
36,Nature Nanotechnology
37,Nature Reviews Genetics
38,Nature Materials
39,Administrative Science Quarterly
40,Annals of Oncology
41,Annual Review of Astronomy and Astrophysics
42,Journal of Financial Economics
43,Review of Economic Studies
44,Immunity
45,Nature Catalysis
46,Morbidity and Mortality Weekly Report
47,Chemical Society Reviews
48,American Economic Journal: Macroeconomics
49,Nature Reviews Methods Primers
50,eScience
51,Proceedings of the IEEE International Conference on Computer Vision
52,Nature Neuroscience
53,Handbook of Econometrics
54,Lancet Oncology
55,Lancet
56,Science
57,Nature Cancer
58,Journal of Marketing
59,Annual Review of Pathology: Mechanisms of Disease
60,Joule
61,Nature Electronics
62,Nature Reviews Chemistry
63,Cell Metabolism
64,Nature Immunology
65,Nature Photonics
66,Journal of Economic Literature
67,Energy and Environmental Science
68,Physiological Reviews
69,Journal of Clinical Oncology
70,Academy of Management Review
71,Proceedings of the IEEE Computer Society Conference on Computer Vision and Pattern Recognition
72,MMWR Surveillance Summaries
73,Cell Stem Cell
74,Lancet Diabetes and Endocrinology
75,Nature Reviews Disease Primers
76,Living Reviews in Relativity
77,Psychological Science in the Public Interest
78,Journal of Hepatology
79,Annual Review of Condensed Matter Physics
80,Annual Review of Biochemistry
81,Nature Reviews Gastroenterology and Hepatology
82,Astronomy and Astrophysics Review
83,Nature Reviews Microbiology
84,Nature Reviews Earth and Environment
85,Cell Research
86,Annual Review of Psychology
87,Lancet Public Health
88,Molecular Cell
89,Advanced Materials
90,Journal of Econometrics
91,Synthesis Lectures on Artificial Intelligence and Machine Learning
92,Lancet Gastroenterology and Hepatology
93,American Economic Journal: Applied Economics
94,Annual Review of Economics
95,Acta Numerica
96,Nature Cell Biology
97,Reviews of Geophysics
98,Cell Genomics
99,Journal of the American College of Cardiology
100,Science immunology
101,Annual Review of Fluid Mechanics
102,Advanced Energy Materials
103,Signal Transduction and Targeted Therapy
104,Advances in Optics and Photonics
105,IEEE Journal on Selected Areas in Communications
106,Annual Review of Neuroscience
107,eLight
108,Lancet Neurology
109,Circulation
110,Psychological Bulletin
111,Nature Reviews Cardiology
112,Journal of Accounting and Economics
113,Academy of Management Journal
114,Nature Physics
115,Molecular Cancer
116,AI Open
117,Gut
118,Foundations and Trends in Finance
119,Synthesis Lectures on Communication Networks
120,Nature Microbiology
121,Lancet Respiratory Medicine
122,Nature Biomedical Engineering
123,Endocrine Reviews
124,Journal of Thoracic Oncology
125,Nature Reviews Neuroscience
126,JAMA Oncology
127,Nature Reviews Physics
128,Lancet Psychiatry
129,Strategic Management Journal
130,Progress in Materials Science
131,Review of Finance
132,ACM Transactions on Graphics
133,Cell Host and Microbe
134,Neuron
135,Nature Climate Change
136,Annual Review of Organizational Psychology and Organizational Behavior
137,Annual Review of Plant Biology
138,Review of Economics and Statistics
139,Journal of Management
140,Cancer Discovery
141,Journal of Hematology and Oncology
